created_at,favorite_count,full_text,clean_text,aspect,sentiment
Sun Mar 30 22:44:36 +0000 2025,1903,List kejahatan sebanyak dan seterang ini harusnya udah cukup buat kita melawan impunitas aparat baik polisi atau TNI Selama kultur kekebalan hukum gak disentuh dan dibongkar semua bakal berulang dan semakin brutal di masa depan Impunitas itu akar dari kekerasan-kekerasan baru,list kejahatan sebanyak dan seterang ini harusnya udah cukup buat kita melawan impunitas aparat baik polisi atau tni selama kultur kekebalan hukum gak disentuh dan dibongkar semua bakal berulang dan semakin brutal di masa depan impunitas itu akar dari kekerasan-kekerasan baru,hukum,negative
Tue Jan 31 11:55:55 +0000 2023,892,Kenapa polisi gak belajar belajar sih padahal habis kena tsunami Sambo ?,kenapa polisi gak belajar belajar sih padahal habis kena tsunami sambo ?,citra,negative
Tue Jan 31 13:32:07 +0000 2023,255,Ngakunya istri polisi taunya cuma selingkuhannya Kompol D~ https://t.co/yAFlSitnYc,ngakunya istri polisi taunya cuma selingkuhannya kompol d~,etika,negative
Mon Jan 30 17:08:14 +0000 2023,246,dikasih hati minta pulsa mama lagi di kantor polisi nih,dikasih hati minta pulsa mama lagi di kantor polisi nih,lainnya,neutral
Tue Jan 31 12:16:56 +0000 2023,240,Wanaochakata Haya Mambo wanajulikana sana Pesa za Plea Bargain zimekuwa channelled katika account 3 China ambazo hata Rais hajazigusia HSBC na CITI Bank Lilipoanza Zoezi la Bargain wasaka Urais 2025/30 wana mtandao wao ambao umejikita hadi Polisi na Mahakamani https://t.co/GUJnjQf2Zb,wanaochakata haya mambo wanajulikana sana pesa za plea bargain zimekuwa channelled katika account china ambazo hata rais hajazigusia hsbc na citi bank lilipoanza zoezi la bargain wasaka urais / wana mtandao wao ambao umejikita hadi polisi na mahakamani,lainnya,neutral
Sun Mar 30 06:22:10 +0000 2025,215,@mhuseinali Di sekolahku dulu yg jadi isilop/tentara biasanya mmg yg nakal sih. Udah ciri khas banget nakal tapi dari keluarga berada prestasinya hmm jangan ditanya deh soalnya jd isilop/tentara itu buat mereka seolah jadi cara supaya punya masa depan aja bukan krn pure mau mengabdi.,@mhuseinali di sekolahku dulu yg jadi isilop/tentara biasanya mmg yg nakal sih. udah ciri khas banget nakal tapi dari keluarga berada prestasinya hmm jangan ditanya deh soalnya jd isilop/tentara itu buat mereka seolah jadi cara supaya punya masa depan aja bukan krn pure mau mengabdi.,citra,negative
Sun Mar 30 16:57:02 +0000 2025,163,MAKOSA YA FUMBO KHAN KUSHABIKIA PESA ZA UPATU 𝑻𝒉𝒓𝒆𝒂𝒅 Wakuu nimekaa nikafanya review kuhusu bloo mwenye maswali kama polisi kwenye uhitaji wa pesa na kumpelekea kufanya umwijaku sasa nimebain baadhi ya makosa yamefanyika amin nawapanga ... Sasa tushuke nayo taratiibu https://t.co/1Y7hHcdWxP,makosa ya fumbo khan kushabikia pesa za upatu wakuu nimekaa nikafanya review kuhusu bloo mwenye maswali kama polisi kwenye uhitaji wa pesa na kumpelekea kufanya umwijaku sasa nimebain baadhi ya makosa yamefanyika amin nawapanga ... sasa tushuke nayo taratiibu,lainnya,neutral
Sun Mar 30 18:06:47 +0000 2025,159,@intinyadeh selama ini TNI dipandang lebih baik daripada Polisi mah cuma karna TNI kurang keliatan aja keburukannya karena ga sedeket Polisi ke sipil. Gatau deh kedepannya gimana,@intinyadeh selama ini tni dipandang lebih baik daripada polisi mah cuma karna tni kurang keliatan aja keburukannya karena ga sedeket polisi ke sipil. gatau deh kedepannya gimana,citra,negative
Sun Mar 30 17:22:39 +0000 2025,150,KENYA: Askari Polisi wametumia Mabomu ya Machozi kutawanya Mashabiki waliokuwa nje ya Uwanja wa Nyayo Jijini Nairobi walipotaka kuingia Uwanjani wakati mchezo kati ya Gor Mahia dhidi ya AFC Leopards (#MashemejiDerby) ukiendelea wakati tayari Uwanja ukiwa umejaa Mchezo huo wa https://t.co/JTUpEYw4OL,kenya: askari polisi wametumia mabomu ya machozi kutawanya mashabiki waliokuwa nje ya uwanja wa nyayo jijini nairobi walipotaka kuingia uwanjani wakati mchezo kati ya gor mahia dhidi ya afc leopards (#mashemejiderby) ukiendelea wakati tayari uwanja ukiwa umejaa mchezo huo wa,lainnya,neutral
Mon Jan 30 20:56:41 +0000 2023,122,Wanita bernama Nur penumpang mobil Audi A6 mengaku sebagai istri kedua polisi Kompol D. Pengakuan Nur ini berujung pemeriksaan Kompol D oleh Propam. https://t.co/zHDCRWvpYQ,wanita bernama nur penumpang mobil audi a mengaku sebagai istri kedua polisi kompol d. pengakuan nur ini berujung pemeriksaan kompol d oleh propam.,lainnya,neutral
Mon Jan 30 16:47:31 +0000 2023,112,Wanita di mobil Audi A6 penabrak mahasiswi Cianjur mengaku sebagai istri kedua polisi berinisial Kompol D. Polda Metro mengakui soal hubungan Kompol D itu. https://t.co/6ssfVE8fEk,wanita di mobil audi a penabrak mahasiswi cianjur mengaku sebagai istri kedua polisi berinisial kompol d. polda metro mengakui soal hubungan kompol d itu.,lainnya,neutral
Mon Jan 30 23:10:16 +0000 2023,108,16) Alasan WHO menyarankan Ukraina untuk menghancurkan semua patogen mereka (di laboratorium yang menurut MSM tidak ada) adl karena WHO tahu Putin sedang mencari senjata biologis. Hal yang sama WHO yang menciptakan negara polisi medis global karena C19. https://t.co/YUN6WFDVFI,) alasan who menyarankan ukraina untuk menghancurkan semua patogen mereka (di laboratorium yang menurut msm tidak ada) adl karena who tahu putin sedang mencari senjata biologis. hal yang sama who yang menciptakan negara polisi medis global karena c.,lainnya,neutral
